,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
0,2012 Maruti Swift Dzire,1st Owner,"2,13,186 km",Diesel,Manual,VDI BS IV Manual,"₹2,63,299"
1,2012 Maruti Swift,1st Owner,"38,061 km",Diesel,Manual,VDI Manual,"₹2,92,299"
2,2012 Maruti Swift,1st Owner,"31,084 km",Diesel,Manual,VDI Manual,"₹2,82,099"
3,2012 Maruti Swift,1st Owner,"26,568 km",Diesel,Manual,VDI Manual,"₹2,89,099"
4,2017 Nissan Terrano,1st Owner,"49,610 km",Diesel,Automatic,XV PREMIUM 110 PS AMT DEISEL Automatic,"₹7,73,899"
5,2010 Maruti Ritz,2nd Owner,"77,787 km",Petrol,Manual,LXI Manual,"₹2,48,299"
6,2014 Maruti Swift,1st Owner,"1,07,206 km",Petrol,Manual,VXI Manual,"₹4,07,299"
7,2014 Maruti Swift Dzire,1st Owner,"76,013 km",Diesel,Manual,LDI BS IV Manual,"₹3,54,799"
8,2015 Maruti Swift,1st Owner,"44,638 km",Diesel,Manual,VDI ABS Manual,"₹4,40,899"
9,2014 Maruti Swift Dzire,1st Owner,"96,978 km",Diesel,Manual,VDI BS IV Manual,"₹4,24,499"
10,2017 Ford Figo Aspire,1st Owner,"31,724 km",Petrol,Manual,1.2 TITANIUM PETROL Manual,"₹4,73,299"
11,2014 Maruti Ritz,1st Owner,"43,382 km",Diesel,Manual,VDI Manual,"₹3,40,599"
12,2013 Maruti Swift,1st Owner,"1,14,506 km",Diesel,Manual,VDI Manual,"₹3,45,499"
13,2013 Hyundai i20,1st Owner,"64,361 km",Diesel,Manual,SPORTZ 1.4 CRDI Manual,"₹3,72,099"
14,2013 Toyota Innova,1st Owner,"63,747 km",Diesel,Manual,2.5 GX 8 STR BS IV Manual,"₹7,10,199"
15,2016 Maruti Swift Dzire,1st Owner,"52,093 km",Petrol,Manual,VXI 1.2 BS IV Manual,"₹4,63,999"
16,2013 Maruti Ertiga,1st Owner,"39,487 km",Diesel,Manual,VDI ABS Manual,"₹5,26,699"
17,2017 Maruti Swift,1st Owner,"71,827 km",Diesel,Manual,LDI O Manual,"₹4,39,399"
18,2013 Maruti Swift,1st Owner,"66,350 km",Diesel,Manual,VDI Manual,"₹3,40,199"
19,2014 Maruti Swift,1st Owner,"78,595 km",Petrol,Manual,LXI Manual,"₹4,01,199"
20,2014 Maruti Swift,1st Owner,"56,221 km",Petrol,Manual,VXI Manual,"₹4,09,299"
21,2013 Toyota Fortuner,1st Owner,"76,953 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹12,48,499"
22,2014 Ford Ecosport,1st Owner,"1,02,117 km",Diesel,Manual,1.5 TREND TDCI Manual,"₹4,32,999"
23,2014 Maruti Swift,1st Owner,"68,404 km",Diesel,Manual,VDI Manual,"₹3,92,699"
24,2013 Ford Ecosport,1st Owner,"1,13,857 km",Diesel,Manual,1.5 AMBIENTE TDCI Manual,"₹3,80,299"
25,2016 Ford Ecosport,1st Owner,"34,842 km",Petrol,Manual,1.5AMBIENTE TI VCT Manual,"₹5,42,399"
26,2018 Honda City,1st Owner,"37,695 km",Petrol,Manual,V MT PETROL Manual,"₹8,20,699"
27,2014 Toyota Innova,1st Owner,"84,036 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,24,099"
28,2017 Maruti Ciaz,1st Owner,"1,07,013 km",Diesel,Manual,VDI+ SHVS Manual,"₹6,38,799"
29,2014 Maruti Ciaz,1st Owner,"93,428 km",Diesel,Manual,VDI PLUS Manual,"₹5,12,299"
30,2015 Maruti Swift,1st Owner,"89,196 km",Diesel,Manual,VDI ABS Manual,"₹4,24,299"
31,2011 Honda City,1st Owner,"1,49,072 km",Petrol,Manual,V MT PETROL Manual,"₹3,25,499"
32,2017 Maruti Vitara Brezza,1st Owner,"35,231 km",Diesel,Manual,VDI OPT Manual,"₹6,84,399"
33,2020 KIA SELTOS,2nd Owner,"5,822 km",Petrol,Manual,HTK 1.5 PETROL Manual,"₹11,15,899"
34,2014 Ford Ecosport,1st Owner,"59,119 km",Petrol,Manual,1.0 ECOBOOST TITANIUM OPT Manual,"₹5,42,199"
35,2016 Maruti Vitara Brezza,2nd Owner,"73,453 km",Diesel,Manual,VDI OPT Manual,"₹6,39,199"
36,2016 Maruti Baleno,1st Owner,"34,818 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,39,099"
37,2018 Hyundai Tucson New,1st Owner,"58,368 km",Diesel,Automatic,2WD AT GL DIESEL Automatic,"₹16,38,299"
38,2014 Hyundai Xcent,1st Owner,"42,384 km",Petrol,Manual,BASE 1.2 Manual,"₹3,88,699"
39,2016 Maruti Vitara Brezza,2nd Owner,"29,749 km",Diesel,Manual,ZDI PLUS DUAL TONE Manual,"₹6,90,099"
40,2018 Ford FREESTYLE,1st Owner,"43,484 km",Petrol,Manual,TITANIUM + 1.2 TI-VCT Manual,"₹5,16,899"
41,2017 Maruti Vitara Brezza,1st Owner,"35,406 km",Diesel,Manual,VDI OPT Manual,"₹7,38,299"
42,2018 Hyundai Elite i20,1st Owner,"16,303 km",Petrol,Manual,ERA 1.2 Manual,"₹5,38,999"
43,2014 Toyota Corolla Altis,1st Owner,"1,03,033 km",Diesel,Manual,D 4D J Manual,"₹7,07,599"
44,2013 Hyundai New Elantra,2nd Owner,"47,959 km",Diesel,Manual,S 1.6 MT Manual,"₹6,36,099"
45,2018 Toyota YARIS,1st Owner,"16,251 km",Petrol,Manual,J MT Manual,"₹7,42,199"
46,2016 Maruti Alto K10,1st Owner,"32,669 km",Petrol,Manual,LXI Manual,"₹2,96,299"
47,2017 Ford Ecosport,1st Owner,"40,139 km",Petrol,Automatic,1.5 TITANIUM TI VCT AT Automatic,"₹7,39,299"
48,2014 Toyota Corolla Altis,1st Owner,"1,15,010 km",Petrol,Manual,G Manual,"₹7,16,399"
49,2017 Maruti Baleno,2nd Owner,"12,322 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,54,299"
50,2017 Hyundai Elite i20,2nd Owner,"25,579 km",Petrol,Manual,ASTA 1.2 Manual,"₹6,19,299"
51,2020 Maruti New Wagon-R,1st Owner,"1,872 km",Petrol,Manual,1.0 LXI (O) Manual,"₹5,23,599"
52,2016 Maruti Alto 800,1st Owner,"50,355 km",Petrol,Manual,LXI Manual,"₹2,78,399"
53,2020 Honda City,1st Owner,"10,322 km",Petrol,Automatic,ZX CVT Automatic,"₹13,17,899"
54,2014 Toyota Corolla Altis,1st Owner,"1,26,822 km",Diesel,Manual,D 4D G Manual,"₹7,49,499"
55,2018 Ford Ecosport,1st Owner,"25,232 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹8,01,999"
56,2016 Maruti Alto 800,1st Owner,"2,831 km",Petrol,Manual,VXI Manual,"₹3,08,599"
57,2019 Renault Kwid,2nd Owner,"17,515 km",Petrol,Manual,RXL Manual,"₹3,44,499"
58,2015 Toyota Etios,1st Owner,"77,530 km",Diesel,Manual,VX D Manual,"₹5,04,999"
59,2018 Maruti Vitara Brezza,1st Owner,"82,601 km",Diesel,Manual,VDI Manual,"₹6,74,699"
60,2018 Maruti Vitara Brezza,1st Owner,"71,192 km",Diesel,Manual,VDI OPT Manual,"₹6,91,399"
61,2018 Maruti Vitara Brezza,1st Owner,"1,12,703 km",Diesel,Manual,VDI Manual,"₹6,88,899"
62,2014 Hyundai Elite i20,1st Owner,"37,833 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹4,85,199"
63,2015 Hyundai Elite i20,1st Owner,"70,006 km",Petrol,Manual,SPORTZ 1.2 Manual,"₹4,79,799"
64,2014 Hyundai Elite i20,1st Owner,"82,377 km",Petrol,Manual,SPORTZ (O) 1.2 Manual,"₹4,93,599"
65,2014 Toyota Innova,1st Owner,"82,096 km",Diesel,Manual,2.5 VX 8 STR BS IV Manual,"₹10,31,599"
66,2020 Hyundai AURA,1st Owner,"1,441 km",Petrol,,E MT 1.2 KAPPA,"₹5,86,799"
67,2014 Hyundai i20,1st Owner,"39,731 km",Petrol,Manual,MAGNA O 1.2 Manual,"₹4,14,199"
68,2017 Hyundai Eon,2nd Owner,"13,373 km",Petrol,Manual,D LITE PLUS Manual,"₹2,76,199"
69,2013 Toyota Fortuner,1st Owner,"1,54,297 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹12,84,099"
70,2018 Maruti Vitara Brezza,1st Owner,"32,860 km",Diesel,Manual,ZDI Manual,"₹7,91,599"
71,2013 Mercedes Benz E Class,2nd Owner,"41,294 km",Diesel,Manual,E 250 CDI AVANTGARDE Manual,"₹16,12,199"
72,2018 Ford Ecosport,1st Owner,"47,149 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,24,199"
73,2015 Mahindra XUV500,2nd Owner,"1,14,885 km",Diesel,Manual,W10 Manual,"₹9,17,799"
74,2018 Maruti Vitara Brezza,2nd Owner,"54,715 km",Diesel,Manual,VDI Manual,"₹7,25,099"
75,2016 Honda Jazz,2nd Owner,"68,769 km",Petrol,Automatic,1.2 V AT Automatic,"₹5,50,699"
76,2019 Maruti Vitara Brezza,1st Owner,"56,076 km",Diesel,Automatic,VDI AMT Automatic,"₹8,69,699"
77,2019 Maruti New Wagon-R,1st Owner,"1,991 km",Petrol,,LXI 1.0 L,"₹5,43,299"
78,2015 Maruti Swift,1st Owner,"37,925 km",Diesel,Manual,VDI ABS Manual,"₹4,08,699"
79,2018 Maruti Celerio X,1st Owner,"46,829 km",Petrol,Automatic,ZXI OPT AMT Automatic,"₹4,80,899"
80,2019 Maruti Alto K10,1st Owner,"32,787 km",Petrol,Manual,VXI Manual,"₹3,91,499"
81,2017 Maruti IGNIS,1st Owner,"15,302 km",Petrol,Manual,ZETA 1.2 K12 Manual,"₹5,47,699"
82,2014 Hyundai Xcent,2nd Owner,"60,824 km",Petrol,Manual,SX 1.2 OPT Manual,"₹4,22,799"
83,2020 Maruti Vitara Brezza,1st Owner,"20,024 km",Petrol,Automatic,ZXI AT SHVS Automatic,"₹10,67,799"
84,2020 Maruti Vitara Brezza,1st Owner,"17,465 km",Diesel,Automatic,ZDI + AMT Automatic,"₹11,71,899"
85,2013 Volkswagen Vento,1st Owner,"75,030 km",Diesel,Manual,HIGHLINE DIESEL Manual,"₹3,74,499"
86,2015 Hyundai Elite i20,1st Owner,"34,212 km",Diesel,Manual,MAGNA 1.4 CRDI Manual,"₹5,40,999"
87,2013 Hyundai i20,1st Owner,"43,949 km",Petrol,Manual,SPORTZ 1.2 VTVT Manual,"₹3,96,399"
88,2016 Hyundai Creta,1st Owner,"55,835 km",Diesel,Manual,1.6 SX (O) CRDI Manual,"₹9,48,299"
